bedrooms,rent,sqft,date,longitude,latitude
1.0,500.0,641.0,2014-05-11,-117.0387,34.8914
4.0,2500.0,1769.0,2014-05-11,-117.5941,34.107
3.0,1725.0,1350.0,2014-05-11,-117.693872,34.027037
1.0,1130.0,778.0,2014-05-11,-117.322998,33.695923
1.0,1220.0,698.0,2014-05-11,-117.5793,34.1449
1.0,1225.0,642.0,2014-05-11,-117.208672,34.047314
3.0,1872.0,1238.0,2014-05-11,-117.578484,34.104621
4.0,1.0,2200.0,2014-05-11,-117.2351,33.9157
2.0,1745.0,1112.0,2014-05-11,-117.6583,34.1144
1.0,1034.0,714.0,2014-05-11,-117.298859,33.942058
2.0,1312.0,885.0,2014-05-11,-117.227573,34.063213
2.0,795.0,,2014-05-11,-117.353206,34.430629
2.0,1700.0,1215.0,2014-05-11,-117.5941,34.107
2.0,533.0,842.0,2014-05-11,-117.0387,34.8914
2.0,1578.0,1071.0,2014-05-11,-117.690296,34.099301000000004
2.0,1728.0,1016.0,2014-05-11,-117.552166,33.988349
2.0,1360.0,990.0,2014-05-11,-117.691888,34.028295
1.0,992.0,475.0,2014-05-11,-117.232428,34.063213
1.0,1399.0,,2014-05-11,-117.085443,33.490824
1.0,1025.0,700.0,2014-05-11,-117.6583,34.1144
,,,2014-05-11,-116.973,33.7416
1.0,650.0,,2014-05-11,-116.953068,33.921159
1.0,1250.0,815.0,2014-05-11,-117.304137,33.947365000000005
4.0,1995.0,2735.0,2014-05-11,-117.289717,33.678670000000004
2.0,735.0,816.0,2014-05-11,-117.346718,34.513133
1.0,825.0,,2014-05-11,-117.67363,34.064683
2.0,1385.0,1158.0,2014-05-11,-117.521824,33.892614
1.0,1433.0,861.0,2014-05-11,-117.5182,34.1705
2.0,1850.0,1031.0,2014-05-11,-117.548288,34.113471999999994
2.0,1075.0,,2014-05-11,-117.538959,33.876179
2.0,875.0,980.0,2014-05-11,-117.2944,34.5016
3.0,1450.0,1910.0,2014-05-11,-117.260073,33.936685
3.0,1050.0,1402.0,2014-05-11,-117.292099,34.481868
2.0,870.0,,2014-05-11,-117.293613,34.476317
2.0,1495.0,1100.0,2014-05-11,-117.66825,34.040687
2.0,945.0,961.0,2014-05-11,-117.32881299999998,33.955927
1.0,1070.0,778.0,2014-05-11,-117.328556,33.957172
1.0,1178.0,694.0,2014-05-11,-117.578602,34.099581
1.0,1102.0,774.0,2014-05-11,-117.298859,33.942058
2.0,1285.0,1000.0,2014-05-11,-117.1783,33.569
1.0,950.0,500.0,2014-05-11,-117.2529,33.6951
1.0,1040.0,525.0,2014-05-11,-117.580007,34.073255
2.0,1285.0,830.0,2014-05-11,-117.678941,34.018615999999994
2.0,1285.0,830.0,2014-05-11,-117.6844,34.0125
2.0,1338.0,912.0,2014-05-11,-117.613937,34.132309
,,,2014-05-11,-116.0556,33.7529
4.0,1575.0,2400.0,2014-05-11,-117.2261,33.8814
3.0,1850.0,1250.0,2014-05-11,-117.431151,34.074111
2.0,1495.0,855.0,2014-05-11,-117.5941,34.107
3.0,1045.0,1200.0,2014-05-11,-117.282689,34.165579
2.0,57500.0,1152.0,2014-05-11,-116.984957,33.730199
4.0,2400.0,2942.0,2014-05-11,-117.480776,34.155408
1.0,1311.0,771.0,2014-05-11,-117.6187,34.0316
2.0,1285.0,892.0,2014-05-11,-117.520253,33.894392
2.0,1495.0,1009.0,2014-05-11,-117.42818,34.082567
1.0,1570.0,874.0,2014-05-11,-117.6404,33.954
2.0,1065.0,960.0,2014-05-11,-117.28708600000002,33.946699
3.0,1045.0,1200.0,2014-05-11,-117.282689,34.165579
2.0,765.0,720.0,2014-05-11,-117.315975,34.485316999999995
4.0,1599.0,,2014-05-11,-117.3528,34.5563
2.0,895.0,900.0,2014-05-11,-117.381478,33.985214
3.0,2355.0,1526.0,2014-05-11,-117.5941,34.107
3.0,1000.0,,2014-05-11,-117.212446,34.538901
2.0,1206.0,1034.0,2014-05-11,-117.462447,33.906748
2.0,1206.0,,2014-05-11,-117.462447,33.906748
1.0,540.0,760.0,2014-05-11,-117.336275,34.545792
3.0,800.0,750.0,2014-05-11,-122.4001,37.6811
1.0,1265.0,619.0,2014-05-11,-117.735927,33.980685
2.0,1206.0,900.0,2014-05-11,-117.462447,33.906748
4.0,995.0,,2014-05-11,-117.300551,34.512021999999995
1.0,936.0,724.0,2014-05-11,-117.462447,33.906748
2.0,1225.0,975.0,2014-05-11,-117.335476,33.980638
1.0,1335.0,757.0,2014-05-11,-117.558474,34.077216
2.0,1200.0,,2014-05-11,-117.643187,34.096453000000004
2.0,1215.0,870.0,2014-05-11,-117.208672,34.047314
2.0,1025.0,905.0,2014-05-11,-117.261108,33.943281
2.0,1340.0,944.0,2014-05-11,-117.610886,34.08031
2.0,1370.0,1140.0,2014-05-11,-117.167256,34.069599
3.0,1350.0,1350.0,2014-05-11,-117.391896,33.975652000000004
3.0,1610.0,1154.0,2014-05-11,-117.18721399999998,33.713345000000004
3.0,1570.0,1154.0,2014-05-11,-117.186871,33.71306
2.0,1380.0,1001.0,2014-05-11,-117.187557,33.712774
3.0,1515.0,1154.0,2014-05-11,-117.18721399999998,33.712774
3.0,1570.0,1154.0,2014-05-11,-117.187042,33.71306
3.0,1570.0,1154.0,2014-05-11,-117.18721399999998,33.712631
2.0,1495.0,1055.0,2014-05-11,-117.187557,33.713203
2.0,1495.0,1055.0,2014-05-11,-117.186828,33.712846
